29.78	1340
29.8	1625
29.82	2135
29.84	2608.333333
29.86	2826.666667
29.88	3528.333333
29.9	4011.666667
29.92	4421.666667
29.94	4740
29.96	5048.333333
29.98	4858.333333
30	5108.333333
30.02	4923.333333
30.04	4768.333333
30.06	4610
30.08	4233.333333
30.1	3788.333333
30.12	3400
30.14	3158.333333
30.16	2641.666667
30.18	2365
30.2	1951.666667
30.22	1668.333333
30.24	1141.666667
30.26	993.333333
30.28	783.333333
30.3	550
30.32	406.666667
30.34	291.666667
30.36	210
30.38	188.333333
30.4	153.333333
30.42	130
30.44	110
30.46	121.666667
30.48	93.333333
30.5	90
30.52	106.666667
30.54	95
30.56	85
30.58	90
30.6	88.333333
30.62	88.333333
30.64	75
30.66	71.666667
30.68	73.333333
30.7	63.333333
30.72	73.333333
30.74	40
30.76	78.333333
30.78	53.333333
30.8	73.333333
30.82	76.666667
30.84	65
30.86	65
30.88	53.333333
30.9	66.666667
30.92	43.333333
30.94	55
30.96	63.333333
30.98	73.333333
31	48.333333
31.02	53.333333
31.04	53.333333
31.06	46.666667
31.08	61.666667
31.1	63.333333
31.12	51.666667
31.14	60
31.16	53.333333
31.18	51.666667
31.2	58.333333
31.22	55
31.24	51.666667
31.26	45
31.28	45
31.3	55
31.32	66.666667
31.34	45
31.36	53.333333
31.38	55
31.4	73.333333
31.42	58.333333
31.44	58.333333
31.46	61.666667
31.48	45
31.5	65
31.52	58.333333
31.54	53.333333
31.56	61.666667
31.58	63.333333
31.6	43.333333
31.62	46.666667
31.64	60
31.66	50
31.68	53.333333
31.7	51.666667
31.72	53.333333
31.74	55
31.76	46.666667
31.78	55
31.8	48.333333
31.82	55
31.84	33.333333
31.86	55
31.88	63.333333
31.9	68.333333
31.92	41.666667
31.94	56.666667
31.96	63.333333
31.98	58.333333
32	51.666667
32.02	83.333333
32.04	50
32.06	48.333333
32.08	65
32.1	55
32.12	61.666667
32.14	75
32.16	53.333333
32.18	63.333333
32.2	58.333333
32.22	56.666667
32.24	50
32.26	58.333333
32.28	55
32.3	61.666667
32.32	63.333333
32.34	55
32.36	75
32.38	53.333333
32.4	58.333333
32.42	68.333333
32.44	53.333333
32.46	40
32.48	46.666667
32.5	55
32.52	38.333333
32.54	65
32.56	60
32.58	58.333333
32.6	45
32.62	50
32.64	55
32.66	51.666667
32.68	53.333333
32.7	51.666667
32.72	35
32.74	48.333333
32.76	48.333333
32.78	40
32.8	63.333333
32.82	53.333333
32.84	45
32.86	38.333333
32.88	58.333333
32.9	51.666667
32.92	43.333333
32.94	60
32.96	51.666667
32.98	68.333333
33	46.666667
33.02	45
33.04	66.666667
33.06	53.333333
33.08	50
33.1	70
33.12	58.333333
33.14	46.666667
33.16	45
33.18	41.666667
33.2	61.666667
33.22	51.666667
33.24	45
33.26	56.666667
33.28	41.666667
33.3	58.333333
33.32	45
33.34	50
33.36	56.666667
33.38	45
33.4	58.333333
33.42	45
33.44	33.333333
33.46	55
33.48	50
33.5	56.666667
33.52	60
33.54	60
33.56	65
33.58	50
33.6	46.666667
33.62	63.333333
33.64	63.333333
33.66	55
33.68	63.333333
33.7	60
33.72	46.666667
33.74	48.333333
33.76	50
33.78	53.333333
33.8	50
33.82	46.666667
33.84	53.333333
33.86	45
33.88	50
33.9	38.333333
33.92	55
33.94	55
33.96	70
33.98	56.666667
34	58.333333
34.02	50
34.04	61.666667
34.06	36.666667
34.08	55
34.1	46.666667
34.12	43.333333
34.14	58.333333
34.16	55
34.18	41.666667
34.2	56.666667
34.22	50
34.24	56.666667
34.26	53.333333
34.28	53.333333
34.3	51.666667
34.32	53.333333
34.34	51.666667
34.36	58.333333
34.38	41.666667
34.4	36.666667
34.42	30
34.44	36.666667
34.46	50
34.48	51.666667
34.5	45
34.52	41.666667
34.54	40
34.56	33.333333
34.58	45
34.6	40
34.62	48.333333
34.64	50
34.66	40
34.68	50
34.7	48.333333
34.72	33.333333
34.74	46.666667
34.76	45
34.78	46.666667
34.8	36.666667
34.82	51.666667
34.84	63.333333
34.86	43.333333
34.88	43.333333
34.9	41.666667
34.92	53.333333
34.94	53.333333
34.96	46.666667
34.98	45
35	61.666667
35.02	36.666667
35.04	40
35.06	36.666667
35.08	40
35.1	48.333333
35.12	45
35.14	40
35.16	46.666667
35.18	65
35.2	45
35.22	48.333333
35.24	38.333333
35.26	38.333333
35.28	38.333333
35.3	46.666667
35.32	31.666667
35.34	38.333333
35.36	38.333333
35.38	33.333333
35.4	35
35.42	41.666667
35.44	35
35.46	41.666667
35.48	38.333333
35.5	48.333333
35.52	56.666667
35.54	30
35.56	41.666667
35.58	51.666667
35.6	45
35.62	41.666667
35.64	36.666667
35.66	50
35.68	33.333333
35.7	43.333333
35.72	36.666667
35.74	36.666667
35.76	43.333333
35.78	48.333333
35.8	60
35.82	46.666667
35.84	45
35.86	36.666667
35.88	36.666667
35.9	58.333333
35.92	56.666667
35.94	46.666667
35.96	41.666667
35.98	41.666667
36	51.666667
36.02	43.333333
36.04	55
36.06	33.333333
36.08	40
36.1	40
36.12	48.333333
36.14	63.333333
36.16	45
36.18	41.666667
36.2	63.333333
36.22	43.333333
36.24	30
36.26	38.333333
36.28	48.333333
36.3	38.333333
36.32	41.666667
36.34	30
36.36	40
36.38	63.333333
36.4	46.666667
36.42	30
36.44	43.333333
36.46	33.333333
36.48	45
36.5	31.666667
36.52	45
36.54	38.333333
36.56	43.333333
36.58	43.333333
36.6	41.666667
36.62	58.333333
36.64	38.333333
36.66	48.333333
36.68	53.333333
36.7	45
36.72	33.333333
36.74	28.333333
36.76	41.666667
36.78	41.666667
36.8	46.666667
36.82	45
36.84	40
36.86	36.666667
36.88	28.333333
36.9	45
36.92	41.666667
36.94	53.333333
36.96	45
36.98	50
37	60
37.02	41.666667
37.04	45
37.06	50
37.08	26.666667
37.1	51.666667
37.12	41.666667
37.14	45
37.16	40
37.18	55
37.2	40
37.22	45
37.24	40
37.26	45
37.28	48.333333
37.3	28.333333
37.32	41.666667
37.34	41.666667
37.36	41.666667
37.38	36.666667
37.4	30
37.42	53.333333
37.44	38.333333
37.46	40
37.48	63.333333
37.5	45
37.52	51.666667
37.54	33.333333
37.56	53.333333
37.58	48.333333
37.6	48.333333
37.62	51.666667
37.64	70
37.66	48.333333
37.68	55
37.7	58.333333
37.72	63.333333
37.74	48.333333
37.76	61.666667
