Fixed/Offset Slit,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

260.00,2.39815039E+3,3.19753369E+3,7.99383423E+2,2.39815039E+3,3.99691724E+3,3.19753369E+3,7.99383423E+2,3.19753369E+3,1.59876685E+3,3.99691724E+3,1.59876685E+3,3.19753369E+3,2.39815039E+3,2.39815039E+3,2.39815039E+3,3.19753369E+3,0.00000000E+0,3.99691724E+3,1.59876685E+3,1.59876685E+3,5.59568408E+3,1.59876685E+3,0.00000000E+0,0.00000000E+0,3.19753369E+3,7.99383423E+2,7.99383423E+2,1.59876685E+3,1.59876685E+3,1.59876685E+3,3.99691724E+3,2.39815039E+3,
261.00,1.98251550E+3,3.30419263E+3,1.32167700E+3,1.32167700E+3,1.98251550E+3,3.30419263E+3,1.98251550E+3,3.96503101E+3,3.96503101E+3,1.98251550E+3,3.30419263E+3,6.60838501E+2,4.62586963E+3,3.30419263E+3,1.98251550E+3,1.32167700E+3,0.00000000E+0,1.32167700E+3,1.32167700E+3,2.64335400E+3,1.32167700E+3,1.32167700E+3,6.60838501E+2,1.32167700E+3,1.32167700E+3,6.60838501E+2,1.98251550E+3,0.00000000E+0,2.64335400E+3,1.98251550E+3,1.98251550E+3,3.30419263E+3,
262.00,5.22898438E+2,1.04579688E+3,5.22898438E+2,3.13739038E+3,5.22898438E+2,2.09159375E+3,2.09159375E+3,5.22898438E+2,5.22898438E+2,1.04579688E+3,1.04579688E+3,1.56869519E+3,2.09159375E+3,3.66028882E+3,1.56869519E+3,1.04579688E+3,1.56869519E+3,1.56869519E+3,1.04579688E+3,1.04579688E+3,2.09159375E+3,5.22898438E+2,1.04579688E+3,1.04579688E+3,0.00000000E+0,0.00000000E+0,0.00000000E+0,5.22898438E+2,3.13739038E+3,5.22898438E+2,3.13739038E+3,1.04579688E+3,
263.00,4.03799164E+2,8.07598328E+2,1.21139746E+3,8.07598328E+2,4.03799164E+2,1.21139746E+3,4.03799164E+2,8.07598328E+2,4.03799164E+2,4.03799164E+2,2.01899573E+3,8.07598328E+2,1.61519666E+3,8.07598328E+2,1.61519666E+3,8.07598328E+2,2.01899573E+3,2.01899573E+3,0.00000000E+0,1.61519666E+3,4.03799164E+2,4.03799164E+2,4.03799164E+2,1.21139746E+3,4.03799164E+2,1.21139746E+3,8.07598328E+2,1.61519666E+3,1.61519666E+3,1.21139746E+3,8.07598328E+2,0.00000000E+0,
264.00,9.30227905E+2,3.10075958E+2,0.00000000E+0,2.17053174E+3,1.55037976E+3,9.30227905E+2,6.20151917E+2,9.30227905E+2,3.10075958E+2,3.10075958E+2,1.24030383E+3,0.00000000E+0,3.10075958E+2,1.24030383E+3,6.20151917E+2,3.10075958E+2,9.30227905E+2,3.10075958E+2,9.30227905E+2,9.30227905E+2,1.55037976E+3,2.79068359E+3,9.30227905E+2,9.30227905E+2,6.20151917E+2,6.20151917E+2,9.30227905E+2,1.24030383E+3,0.00000000E+0,9.30227905E+2,3.10075958E+2,2.17053174E+3,
265.00,2.40076050E+2,1.68053235E+3,0.00000000E+0,7.20228149E+2,0.00000000E+0,9.60304199E+2,1.20038025E+3,4.80152100E+2,1.20038025E+3,0.00000000E+0,7.20228149E+2,7.20228149E+2,2.40076050E+2,4.80152100E+2,4.80152100E+2,7.20228149E+2,7.20228149E+2,4.80152100E+2,0.00000000E+0,2.40076050E+2,2.40076050E+2,9.60304199E+2,4.80152100E+2,2.40076050E+2,2.40076050E+2,1.20038025E+3,0.00000000E+0,4.80152100E+2,9.60304199E+2,4.80152100E+2,2.40076050E+2,0.00000000E+0,
266.00,5.67309570E+2,1.89103195E+2,1.89103195E+2,1.89103195E+2,1.89103195E+2,9.45515930E+2,9.45515930E+2,7.56412781E+2,5.67309570E+2,1.32372229E+3,5.67309570E+2,3.78206390E+2,3.78206390E+2,7.56412781E+2,7.56412781E+2,1.89103195E+2,9.45515930E+2,9.45515930E+2,3.78206390E+2,1.89103195E+2,1.89103195E+2,5.67309570E+2,1.89103195E+2,0.00000000E+0,5.67309570E+2,0.00000000E+0,7.56412781E+2,3.78206390E+2,1.89103195E+2,3.78206390E+2,5.67309570E+2,1.89103195E+2,
267.00,4.56521790E+2,4.56521790E+2,1.21739148E+3,1.52173935E+2,6.08695740E+2,4.56521790E+2,7.60869629E+2,4.56521790E+2,4.56521790E+2,4.56521790E+2,6.08695740E+2,1.52173935E+2,0.00000000E+0,6.08695740E+2,6.08695740E+2,6.08695740E+2,4.56521790E+2,1.52173935E+2,3.04347870E+2,4.56521790E+2,3.04347870E+2,3.04347870E+2,6.08695740E+2,0.00000000E+0,1.52173935E+2,0.00000000E+0,1.52173935E+2,4.56521790E+2,6.08695740E+2,1.52173935E+2,3.04347870E+2,0.00000000E+0,
268.00,1.25227005E+2,3.75681030E+2,3.75681030E+2,3.75681030E+2,1.25227005E+2,3.75681030E+2,2.50454010E+2,2.50454010E+2,2.50454010E+2,2.50454010E+2,1.25227005E+2,1.25227005E+2,1.25227005E+2,5.00908020E+2,0.00000000E+0,3.75681030E+2,3.75681030E+2,6.26135010E+2,1.25227005E+2,1.25227005E+2,0.00000000E+0,5.00908020E+2,2.50454010E+2,6.26135010E+2,3.75681030E+2,0.00000000E+0,1.25227005E+2,7.51362061E+2,5.00908020E+2,2.50454010E+2,1.25227005E+2,1.25227005E+2,
269.00,3.15677979E+2,8.41807922E+2,5.26129944E+2,3.15677979E+2,0.00000000E+0,1.05225990E+2,5.26129944E+2,3.15677979E+2,5.26129944E+2,5.26129944E+2,0.00000000E+0,2.10451981E+2,0.00000000E+0,3.15677979E+2,0.00000000E+0,1.05225990E+2,1.05225990E+2,4.20903961E+2,1.05225990E+2,4.20903961E+2,3.15677979E+2,2.10451981E+2,3.15677979E+2,2.10451981E+2,1.05225990E+2,3.15677979E+2,5.26129944E+2,1.05225990E+2,3.15677979E+2,8.41807922E+2,1.05225990E+2,5.26129944E+2,
