Fixed/Offset Slit,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

498.00,3.94416084E+1,3.83147049E+1,7.66294098E+1,7.09948959E+1,5.07106400E+1,7.09948959E+1,7.43756027E+1,8.33908310E+1,1.05928894E+2,1.28466949E+2,1.43116699E+2,1.53258820E+2,1.85939011E+2,2.15238495E+2,2.56933899E+2,2.97502411E+2,3.53847565E+2,3.54974487E+2,4.68791687E+2,4.90202850E+2,5.51055603E+2,5.92751038E+2,6.13035278E+2,6.15289063E+2,6.06273865E+2,5.33025146E+2,3.60608978E+2,2.56933899E+2,1.22832436E+2,8.45177307E+1,2.59187717E+1,1.69035473E+1,
499.00,6.79504919E+0,1.69876232E+1,2.03851471E+1,2.03851471E+1,2.49151802E+1,1.92526379E+1,5.09628677E+1,6.45529633E+1,8.60706177E+1,7.02155075E+1,7.13480148E+1,5.88904228E+1,8.60706177E+1,9.06006546E+1,9.51306839E+1,1.32503448E+2,1.48358566E+2,1.59683655E+2,2.21971603E+2,2.41224243E+2,2.75199493E+2,2.67271912E+2,3.43149963E+2,3.57872589E+2,3.22764832E+2,2.86524567E+2,1.99321442E+2,1.50623581E+2,6.00229340E+1,3.62402611E+1,2.49151802E+1,7.92755699E+0,
500.00,4.55407190E+0,4.55407190E+0,1.36622162E+1,1.02466621E+1,1.70777702E+1,2.27703590E+1,3.64325752E+1,5.46488647E+1,5.69258995E+1,6.60340424E+1,6.26184883E+1,3.64325752E+1,5.57873802E+1,6.48955231E+1,8.31118164E+1,1.00189583E+2,1.12713280E+2,1.22959946E+2,1.78747330E+2,1.60531036E+2,1.77608810E+2,2.17456940E+2,2.10625824E+2,1.79885849E+2,2.11764343E+2,1.61669556E+2,1.34345123E+2,8.31118164E+1,5.00947914E+1,3.30170212E+1,1.59392519E+1,6.83110809E+0,
501.00,1.03046160E+1,4.57982922E+0,1.48844452E+1,1.14495726E+1,1.37394876E+1,1.71743584E+1,3.09138470E+1,2.63340168E+1,3.77835922E+1,4.23634186E+1,3.77835922E+1,2.63340168E+1,4.12184639E+1,4.57982903E+1,5.03781204E+1,5.49579506E+1,7.44222260E+1,9.04516220E+1,1.15640686E+2,1.14495728E+2,1.14495728E+2,1.40829742E+2,1.68308716E+2,1.62583939E+2,1.41974701E+2,1.09915901E+2,8.24369278E+1,7.09873505E+1,3.89285469E+1,2.97688904E+1,1.83193169E+1,4.57982922E+0,
502.00,3.45322227E+0,8.05751896E+0,1.03596668E+1,1.15107412E+1,1.26618156E+1,1.38128891E+1,1.95682602E+1,2.41725559E+1,3.33811493E+1,2.64747047E+1,2.30214825E+1,4.37408180E+1,2.76257782E+1,2.53236313E+1,4.25897408E+1,4.83451118E+1,5.98558540E+1,7.25176697E+1,7.02155228E+1,7.02155228E+1,9.09348526E+1,1.05898819E+2,1.23164932E+2,1.26618149E+2,1.32373520E+2,9.78413010E+1,9.78413010E+1,5.17983360E+1,2.64747047E+1,1.95682602E+1,9.20859337E+0,5.75537062E+0,
503.00,1.15645390E+1,1.04080849E+1,1.73468094E+1,1.38774471E+1,9.25163174E+0,2.31290793E+0,1.50339012E+1,9.25163174E+0,1.61903553E+1,1.27209930E+1,1.73468094E+1,1.38774471E+1,2.19726238E+1,1.96597176E+1,5.20404282E+1,4.27887955E+1,4.04758873E+1,5.20404282E+1,5.43533363E+1,7.05436859E+1,7.63259583E+1,7.74824142E+1,7.97953186E+1,1.13332481E+2,9.36727676E+1,6.70743256E+1,6.93872375E+1,4.04758873E+1,1.61903553E+1,1.04080849E+1,6.93872356E+0,5.78226948E+0,
504.00,2.32279587E+0,8.12978554E+0,5.80698967E+0,9.29118347E+0,1.39367743E+1,6.96838713E+0,3.48419356E+0,1.62595711E+1,2.09051628E+1,1.85823669E+1,1.85823669E+1,1.62595711E+1,2.20665607E+1,3.71647339E+1,2.09051628E+1,4.06489258E+1,4.76173134E+1,4.06489258E+1,5.69084969E+1,6.73610764E+1,6.15540886E+1,7.66522598E+1,1.14978394E+2,9.87188187E+1,9.75574265E+1,7.78136597E+1,5.45857010E+1,3.01963444E+1,3.36805382E+1,1.04525814E+1,8.12978554E+0,9.29118347E+0,
505.00,5.82890844E+0,5.82890844E+0,1.16578169E+1,6.99468994E+0,1.51551619E+1,1.16578169E+1,1.98182888E+1,1.16578169E+1,2.44814148E+1,1.51551619E+1,2.21498508E+1,2.56471958E+1,2.79787598E+1,2.79787598E+1,3.38076668E+1,4.31339226E+1,3.96365776E+1,4.31339226E+1,4.31339226E+1,6.41179886E+1,6.76153336E+1,5.94548645E+1,9.09309692E+1,7.46100235E+1,7.57758102E+1,6.99468994E+1,6.06206474E+1,4.31339226E+1,1.98182888E+1,5.82890844E+0,2.33156323E+0,5.82890844E+0,
506.00,5.85737562E+0,9.37180042E+0,9.37180042E+0,8.20032597E+0,9.37180042E+0,1.05432758E+1,2.34295025E+1,2.69439278E+1,1.28862257E+1,1.75721264E+1,1.64006519E+1,2.22580261E+1,2.81154022E+1,2.92868767E+1,3.16298275E+1,3.74872017E+1,3.74872017E+1,6.32596550E+1,5.38878555E+1,5.74022789E+1,6.91170273E+1,7.02885056E+1,6.91170273E+1,7.02885056E+1,7.73173523E+1,5.97452278E+1,5.85737534E+1,2.22580261E+1,1.75721264E+1,7.02885056E+0,7.02885056E+0,1.17147505E+0,
507.00,1.17957723E+0,7.07746363E+0,5.89788628E+0,1.29753504E+1,4.71830893E+0,8.25704098E+0,7.07746363E+0,1.76936588E+1,2.00528145E+1,2.00528145E+1,2.00528145E+1,1.65140820E+1,2.24119682E+1,2.12323914E+1,2.71302776E+1,3.53873177E+1,4.95422440E+1,5.66197090E+1,5.89788628E+1,3.89260483E+1,6.60563278E+1,6.25175972E+1,7.90316772E+1,8.37499847E+1,5.54401321E+1,5.19014015E+1,4.24647827E+1,2.71302776E+1,1.65140820E+1,1.06161957E+1,5.89788628E+0,2.35915446E+0,
508.00,2.37768841E+0,0.00000000E+0,1.06995983E+1,8.32190990E+0,7.13306522E+0,1.06995983E+1,1.18884420E+1,1.54549751E+1,5.94422102E+0,1.42661304E+1,1.54549751E+1,2.49657288E+1,2.37768841E+1,2.85322609E+1,3.56653290E+1,5.34979897E+1,4.63649254E+1,4.99314575E+1,5.70645218E+1,6.89529648E+1,6.65752792E+1,5.34979897E+1,6.06310577E+1,8.08414078E+1,8.08414078E+1,4.99314575E+1,5.23091469E+1,2.02103519E+1,1.42661304E+1,4.75537682E+0,7.13306522E+0,4.75537682E+0,
509.00,3.59167385E+0,1.31694708E+1,5.98612309E+0,1.19722462E+1,8.38057232E+0,5.98612309E+0,1.07750216E+1,1.19722462E+1,1.79583683E+1,2.03528175E+1,3.23250656E+1,1.55639200E+1,2.27472668E+1,2.39444923E+1,4.54945335E+1,4.42973099E+1,5.50723305E+1,5.26778831E+1,5.26778831E+1,7.30307007E+1,7.06362534E+1,7.66223755E+1,1.00566864E+2,7.78196030E+1,6.94390259E+1,7.90168228E+1,5.02834320E+1,2.15500431E+1,2.87333908E+1,1.07750216E+1,2.39444923E+0,4.78889847E+0,
510.00,1.32506104E+1,1.44552116E+1,8.43220711E+0,1.56598129E+1,1.92736149E+1,1.68644142E+1,2.89104233E+1,3.73426285E+1,4.33656349E+1,4.69794388E+1,4.33656349E+1,7.95036621E+1,6.38438492E+1,7.46852570E+1,9.87772751E+1,1.20460098E+2,9.75726776E+1,1.38529114E+2,9.75726776E+1,1.24073898E+2,1.55393524E+2,1.65030334E+2,1.69848740E+2,1.25278503E+2,1.16846291E+2,1.32506104E+2,8.31174698E+1,4.21610336E+1,2.77058220E+1,1.80690136E+1,7.22760582E+0,1.08414087E+1,
511.00,1.09100685E+1,2.42445965E+1,2.90935154E+1,3.27302055E+1,2.42445965E+1,4.00035858E+1,4.60647354E+1,5.45503426E+1,7.87949371E+1,7.51582489E+1,1.00615074E+2,1.52740952E+2,1.32133057E+2,1.51528732E+2,1.87895630E+2,1.86683395E+2,2.13352448E+2,1.85471161E+2,2.12140213E+2,2.49719345E+2,2.54568268E+2,2.41233734E+2,2.41233734E+2,2.18201370E+2,1.98805695E+2,1.67287720E+2,1.36981964E+2,7.15215607E+1,5.33381119E+1,2.30323677E+1,1.33345280E+1,9.69783878E+0,
512.00,6.09839678E+0,9.75743484E+0,9.75743484E+0,1.34164724E+1,2.92723045E+1,3.53707008E+1,9.14759521E+1,1.63437027E+2,2.15883240E+2,2.28080032E+2,1.51240234E+2,2.15883240E+2,2.12224197E+2,2.48814575E+2,2.34178436E+2,2.46375229E+2,2.73208160E+2,2.62231049E+2,2.80526245E+2,3.26874054E+2,2.91503357E+2,3.52487335E+2,3.24434692E+2,2.87844330E+2,2.89063995E+2,2.37837463E+2,1.67096069E+2,1.01233383E+2,6.34233246E+1,2.80526237E+1,1.95148697E+1,8.53775501E+0,
513.00,2.20747185E+1,1.22637320E+1,1.47164783E+1,2.82065830E+1,3.55648232E+1,4.66021805E+1,7.84878845E+1,1.34901047E+2,1.88861481E+2,2.31784531E+2,2.37916397E+2,2.93103210E+2,2.85744965E+2,3.38479004E+2,3.51969116E+2,3.54421844E+2,4.52531708E+2,4.09608643E+2,5.02813019E+2,4.84417419E+2,4.51305328E+2,4.94228394E+2,5.26114136E+2,5.01586639E+2,4.40267975E+2,3.63006470E+2,2.42821899E+2,1.38580170E+2,5.27340469E+1,4.41494370E+1,1.59428520E+1,1.10373592E+1,
514.00,1.35645838E+1,1.60308723E+1,1.35645838E+1,3.08285999E+1,5.54914780E+1,1.35645844E+2,2.70058533E+2,4.26667816E+2,5.79577637E+2,5.37650757E+2,4.46398132E+2,4.42698700E+2,4.11870087E+2,5.15454163E+2,4.88325012E+2,5.51215332E+2,5.68479370E+2,5.88209656E+2,6.22737732E+2,6.28903442E+2,6.28903442E+2,6.67130859E+2,7.05358337E+2,6.12872559E+2,5.91909119E+2,5.36417603E+2,3.04586548E+2,2.02235611E+2,1.13449249E+2,5.05589027E+1,2.21965923E+1,2.58960228E+1,
515.00,7.44133472E+0,1.11620026E+1,1.86033363E+1,3.47262306E+1,6.82122345E+1,1.14100464E+2,2.21999817E+2,3.57184082E+2,4.48960541E+2,6.20111206E+2,7.83820618E+2,9.16524414E+2,9.90937744E+2,1.14472534E+3,1.16952979E+3,1.31091516E+3,1.32331738E+3,1.40889270E+3,1.41385364E+3,1.38160779E+3,1.36300452E+3,1.42253516E+3,1.36672510E+3,1.29107153E+3,1.16704932E+3,9.68613770E+2,6.42435242E+2,3.85709198E+2,1.98435593E+2,1.05418907E+2,4.71284523E+1,2.60446720E+1,
516.00,0.00000000E+0,3.73926592E+0,1.37106419E+1,1.86963291E+1,2.86677055E+1,6.73067856E+1,1.76991913E+2,2.39313019E+2,3.51490997E+2,4.91090240E+2,5.53411377E+2,7.21678345E+2,8.05188599E+2,1.00461609E+3,1.06693726E+3,1.10931555E+3,1.24268274E+3,1.37231055E+3,1.28381458E+3,1.38726770E+3,1.43961731E+3,1.42092102E+3,1.46080652E+3,1.46828503E+3,1.26013257E+3,1.00336969E+3,7.46606750E+2,4.86104553E+2,2.44298706E+2,1.15917244E+2,4.61176109E+1,2.99141273E+1,
517.00,2.50365567E+0,1.00146227E+1,1.25182781E+1,2.25329018E+1,3.88066635E+1,7.51096725E+1,1.27686440E+2,2.64135681E+2,3.73044708E+2,4.69435455E+2,6.02129211E+2,6.86001648E+2,8.18695435E+2,1.01272876E+3,9.77677551E+2,1.11663049E+3,1.26810156E+3,1.18548096E+3,1.26184253E+3,1.30064917E+3,1.27686438E+3,1.25808704E+3,1.33695215E+3,1.24556873E+3,1.21302124E+3,8.95056946E+2,6.53454163E+2,3.80555664E+2,2.35343643E+2,1.08909027E+2,4.13103180E+1,2.75402126E+1,
518.00,6.28588820E+0,3.77153301E+0,1.63433094E+1,4.02296867E+1,1.04345749E+2,2.17491745E+2,3.54524109E+2,5.97159424E+2,8.41051880E+2,1.14151733E+3,1.37283801E+3,1.47844092E+3,1.77890637E+3,2.10074390E+3,2.20760400E+3,2.37732300E+3,2.42258130E+3,2.41503833E+3,2.53321313E+3,2.67150269E+3,2.49926929E+3,2.53321313E+3,2.44395337E+3,2.34589355E+3,2.19126074E+3,1.71730469E+3,1.25592053E+3,7.49277893E+2,3.30637726E+2,1.82290771E+2,7.92021942E+1,3.39437981E+1,
519.00,8.85052490E+0,1.01148863E+1,2.02297726E+1,5.05744286E+1,1.12528107E+2,2.25056213E+2,4.18503387E+2,7.00455872E+2,1.04562634E+3,1.38573938E+3,1.67654236E+3,2.07481592E+3,2.41872217E+3,2.55527295E+3,2.80182349E+3,3.08377588E+3,3.12929272E+3,3.17986719E+3,3.26078638E+3,3.42894629E+3,3.31641821E+3,3.32653320E+3,3.47825635E+3,3.07745410E+3,2.84734033E+3,2.18102222E+3,1.56022119E+3,9.81143921E+2,5.05744293E+2,2.47814697E+2,1.06206299E+2,7.58616409E+1,
520.00,1.27239752E+0,1.01791801E+1,2.54479504E+1,6.74370651E+1,1.47598114E+2,3.16826965E+2,5.73851257E+2,8.88133423E+2,1.26858032E+3,1.68592664E+3,2.13762769E+3,2.57533252E+3,2.83871875E+3,3.16445264E+3,3.59961255E+3,3.67213916E+3,3.76756885E+3,4.08439600E+3,4.08694067E+3,4.15565039E+3,4.16328467E+3,4.04240674E+3,3.95333887E+3,3.84900244E+3,3.42529395E+3,2.79418481E+3,1.84879358E+3,1.11334778E+3,5.54765320E+2,2.92651428E+2,1.48870499E+2,5.34406929E+1,
521.00,5.11834764E+0,1.15162821E+1,5.50222359E+1,1.65066711E+2,4.33779938E+2,6.99934021E+2,1.23864001E+3,2.00255347E+3,2.79717676E+3,3.67881226E+3,4.44400537E+3,5.22199414E+3,5.87202393E+3,6.25334082E+3,6.43504248E+3,6.85602637E+3,7.06715820E+3,6.92384424E+3,7.28596777E+3,7.04796436E+3,7.12218018E+3,6.90337109E+3,6.90465088E+3,6.55916211E+3,5.68520459E+3,4.33652002E+3,3.10427759E+3,1.87971313E+3,9.95518555E+2,4.60651276E+2,2.21368530E+2,9.08506699E+1,
522.00,6.43387222E+0,2.18751659E+1,7.46329193E+1,2.89524261E+2,7.00005310E+2,1.24688440E+3,2.12446460E+3,3.16675195E+3,4.67999854E+3,5.91272852E+3,7.27799609E+3,8.64455078E+3,9.37801172E+3,1.03122100E+4,1.09144209E+4,1.12567031E+4,1.13442031E+4,1.15861172E+4,1.20171865E+4,1.19927373E+4,1.15192051E+4,1.14111152E+4,1.11074365E+4,1.05978740E+4,9.42047559E+3,7.48516699E+3,5.40059229E+3,3.24267163E+3,1.59688708E+3,8.69859497E+2,3.71877808E+2,1.53126160E+2,
523.00,5.17823601E+0,3.62476540E+1,1.47579727E+2,4.89343323E+2,1.02787988E+3,2.01433386E+3,3.31666040E+3,5.28050635E+3,7.23917432E+3,9.58232617E+3,1.14257783E+4,1.34905996E+4,1.50699619E+4,1.60421758E+4,1.71334883E+4,1.72577676E+4,1.79995488E+4,1.79840137E+4,1.82675234E+4,1.82481035E+4,1.75852910E+4,1.76241270E+4,1.68396250E+4,1.60848965E+4,1.41547090E+4,1.11836953E+4,8.03144434E+3,4.80669775E+3,2.38328320E+3,1.22853650E+3,4.98405243E+2,2.75741089E+2,
524.00,8.33096313E+1,5.31098877E+2,2.03978418E+3,6.11805078E+3,1.31707314E+4,2.39176738E+4,3.94666367E+4,5.73456641E+4,7.76732109E+4,9.85995469E+4,1.15927953E+5,1.30183008E+5,1.41565188E+5,1.47758734E+5,1.51541516E+5,1.52189766E+5,1.50276250E+5,1.45057688E+5,1.44435469E+5,1.38033641E+5,1.28182281E+5,1.21090547E+5,1.12620297E+5,1.02038672E+5,8.92337266E+4,7.07337813E+4,4.97449609E+4,2.90451211E+4,1.52821104E+4,7.26095508E+3,3.10588721E+3,1.34857458E+3,
525.00,1.62393387E+2,9.33761963E+2,3.36573389E+3,8.84912988E+3,1.82967578E+4,3.17060000E+4,4.85752695E+4,6.68144063E+4,8.55826250E+4,1.02907641E+5,1.16561781E+5,1.26116805E+5,1.32620391E+5,1.36517844E+5,1.35534313E+5,1.34427672E+5,1.29743148E+5,1.24868727E+5,1.22338539E+5,1.16132227E+5,1.08087203E+5,1.02221398E+5,9.62626094E+4,8.65831797E+4,7.62371484E+4,6.04234375E+4,4.32162852E+4,2.52220508E+4,1.36436641E+4,6.51930859E+3,2.65984668E+3,1.18390015E+3,
526.00,1.71263828E+1,1.01440887E+2,3.92589417E+2,1.07896216E+3,2.47278638E+3,4.19991602E+3,6.92432861E+3,9.91354102E+3,1.34916377E+4,1.73780098E+4,2.05095020E+4,2.39808887E+4,2.57001152E+4,2.77183926E+4,2.88250215E+4,3.01898613E+4,3.02886680E+4,3.08854570E+4,3.14980547E+4,3.10554023E+4,2.97814629E+4,2.94033652E+4,2.87604668E+4,2.70636387E+4,2.39980156E+4,1.90050156E+4,1.34297197E+4,8.18772852E+3,4.24075586E+3,2.09600586E+3,8.43145020E+2,4.16302856E+2,
527.00,4.10788956E+1,1.20586433E+2,5.44626648E+2,1.19393823E+3,2.84371973E+3,5.00764990E+3,8.09121729E+3,1.18479482E+4,1.61095527E+4,1.98066543E+4,2.37330000E+4,2.63806016E+4,2.88055820E+4,3.04964414E+4,3.13604238E+4,3.22495840E+4,3.20600898E+4,3.21077949E+4,3.26285703E+4,3.08515762E+4,2.99849434E+4,2.94827207E+4,2.85617578E+4,2.63978281E+4,2.33831680E+4,1.86365684E+4,1.29835811E+4,7.59164502E+3,3.92767236E+3,1.98238806E+3,8.50730652E+2,4.02838196E+2,
528.00,1.58652588E+2,7.22602539E+2,2.08114868E+3,5.13021143E+3,9.72446973E+3,1.57252705E+4,2.30406211E+4,3.10479102E+4,3.91058633E+4,4.72144766E+4,5.21793672E+4,5.60910195E+4,5.95013828E+4,6.05319609E+4,6.08239336E+4,6.04506328E+4,5.94187266E+4,5.82001680E+4,5.71602578E+4,5.47071445E+4,5.16087539E+4,4.97222539E+4,4.70931523E+4,4.32614922E+4,3.78993008E+4,2.98160195E+4,2.05715078E+4,1.22695771E+4,6.19145020E+3,3.01839868E+3,1.36787854E+3,6.05279602E+2,
529.00,7.17522583E+2,3.21074585E+3,9.34254590E+3,2.04460410E+4,3.77913086E+4,5.81448086E+4,8.23796406E+4,1.04557117E+5,1.25950023E+5,1.42800406E+5,1.54186875E+5,1.60435359E+5,1.62259344E+5,1.61482813E+5,1.56313969E+5,1.50619391E+5,1.43174594E+5,1.33504797E+5,1.28354727E+5,1.18238328E+5,1.08563180E+5,1.00532289E+5,9.24450703E+4,8.31213047E+4,7.07665000E+4,5.45947500E+4,3.80300391E+4,2.16222402E+4,1.11879873E+4,5.30430225E+3,2.14183838E+3,1.06890747E+3,
530.00,9.98894501E+1,4.99447235E+2,1.65762488E+3,4.37218799E+3,8.86046387E+3,1.45973584E+4,2.15977188E+4,2.91596211E+4,3.71615742E+4,4.42402266E+4,4.99433750E+4,5.42966641E+4,5.70719727E+4,5.89307266E+4,5.86877500E+4,5.85932617E+4,5.66737656E+4,5.48298594E+4,5.38701094E+4,5.08855742E+4,4.79347891E+4,4.55563398E+4,4.29362656E+4,3.95494727E+4,3.37599336E+4,2.63802637E+4,1.81960781E+4,1.06841211E+4,5.59245947E+3,2.74021069E+3,1.13118054E+3,4.98097382E+2,
531.00,5.84083786E+1,2.78458557E+2,9.46759094E+2,2.36757690E+3,4.76503711E+3,7.83079785E+3,1.15404092E+4,1.60297041E+4,2.02731406E+4,2.42150273E+4,2.74695957E+4,2.98521152E+4,3.20757090E+4,3.33199414E+4,3.34095938E+4,3.36608828E+4,3.30211094E+4,3.21218926E+4,3.16627754E+4,3.05788242E+4,2.88170645E+4,2.79409395E+4,2.67496797E+4,2.48846855E+4,2.14087090E+4,1.67577715E+4,1.17550254E+4,6.73462207E+3,3.50586108E+3,1.69791797E+3,7.49800598E+2,3.78975311E+2,
532.00,6.83323898E+1,1.84497452E+2,5.95858459E+2,1.44181348E+3,2.90002661E+3,4.58510352E+3,6.85920557E+3,9.49000293E+3,1.21276328E+4,1.50508926E+4,1.71541641E+4,1.87709082E+4,1.99530586E+4,2.11406758E+4,2.16490684E+4,2.21150957E+4,2.14727715E+4,2.14960039E+4,2.13866719E+4,2.08031133E+4,1.99380254E+4,1.96920293E+4,1.88611074E+4,1.74315938E+4,1.54157871E+4,1.21604326E+4,8.44041699E+3,4.92813184E+3,2.43946631E+3,1.22451648E+3,5.75358704E+2,2.32330124E+2,
533.00,3.28439758E+2,1.36048267E+3,4.04022144E+3,8.63288086E+3,1.55768398E+4,2.35019961E+4,3.25773770E+4,4.03761055E+4,4.84373086E+4,5.53771445E+4,5.96482344E+4,6.19129570E+4,6.29903516E+4,6.18428711E+4,6.13028008E+4,5.84499102E+4,5.67761055E+4,5.28444453E+4,5.06621797E+4,4.83383633E+4,4.46856719E+4,4.18149180E+4,3.94182695E+4,3.57614570E+4,3.06699531E+4,2.34731367E+4,1.60481992E+4,8.98056055E+3,4.80154199E+3,2.31694336E+3,8.91872009E+2,4.27383972E+2,
534.00,7.43716553E+2,3.08269141E+3,8.54029883E+3,1.82680566E+4,3.11103008E+4,4.67034648E+4,6.29352852E+4,7.90883125E+4,9.34981641E+4,1.03328219E+5,1.10934039E+5,1.14623586E+5,1.14369234E+5,1.12894242E+5,1.08689063E+5,1.03807906E+5,9.85244766E+4,9.22554141E+4,8.80640625E+4,8.22608594E+4,7.39790625E+4,6.98374766E+4,6.37813008E+4,5.76891836E+4,4.87535234E+4,3.66066133E+4,2.51135664E+4,1.43448828E+4,7.26022217E+3,3.43243164E+3,1.41693213E+3,7.05010132E+2,
535.00,1.59905777E+2,6.39623108E+2,1.67414404E+3,3.54573682E+3,6.46992725E+3,1.01811318E+4,1.47224561E+4,1.83265938E+4,2.26218008E+4,2.66375215E+4,2.93642637E+4,3.10940273E+4,3.32270313E+4,3.27973711E+4,3.33257539E+4,3.27403613E+4,3.21674824E+4,3.04432793E+4,3.04669180E+4,2.85258008E+4,2.74398320E+4,2.61995195E+4,2.43891074E+4,2.18097578E+4,1.97142969E+4,1.47113320E+4,1.05482197E+4,5.90260889E+3,2.89359937E+3,1.48364758E+3,5.81222778E+2,3.07297211E+2,
536.00,8.95947266E+1,2.89782959E+2,8.31551086E+2,1.60990527E+3,2.93982690E+3,4.34814404E+3,5.92445117E+3,8.01872803E+3,9.88201855E+3,1.16543145E+4,1.28316445E+4,1.41055703E+4,1.50533145E+4,1.56580781E+4,1.58092695E+4,1.55964824E+4,1.57840713E+4,1.54816885E+4,1.52213037E+4,1.48685254E+4,1.44289512E+4,1.40663721E+4,1.37037939E+4,1.25334619E+4,1.09697539E+4,8.67808887E+3,5.84045605E+3,3.43399780E+3,1.73869763E+3,8.81948120E+2,4.11575775E+2,1.72189865E+2,
537.00,1.11416664E+2,3.10274261E+2,7.60171936E+2,1.51329224E+3,2.96593994E+3,4.30999170E+3,6.00944824E+3,7.86827295E+3,1.00148066E+4,1.18933770E+4,1.33333311E+4,1.42232539E+4,1.52852383E+4,1.55588438E+4,1.57323154E+4,1.60877207E+4,1.55235850E+4,1.53797305E+4,1.50948428E+4,1.47225137E+4,1.38156670E+4,1.36619395E+4,1.32134521E+4,1.20950547E+4,1.07806201E+4,8.34073633E+3,5.70199463E+3,3.29031738E+3,1.64022253E+3,8.13764771E+2,2.97581207E+2,1.74881851E+2,
538.00,2.15638306E+2,6.15704102E+2,1.32220325E+3,2.31953052E+3,3.72969141E+3,5.39663232E+3,7.07208496E+3,8.82556543E+3,1.04783193E+4,1.17934287E+4,1.26006543E+4,1.38987402E+4,1.43314346E+4,1.40363506E+4,1.38278057E+4,1.38249688E+4,1.36320293E+4,1.28304785E+4,1.30801650E+4,1.25779551E+4,1.15763721E+4,1.13919443E+4,1.05449971E+4,1.01477686E+4,8.61702051E+3,6.76281445E+3,4.55819629E+3,2.60184644E+3,1.29382983E+3,6.24216125E+2,2.44011765E+2,1.31936600E+2,
539.00,2.97787476E+2,8.13572510E+2,1.56160327E+3,2.78409937E+3,3.94247827E+3,5.50408154E+3,7.48173242E+3,8.92365137E+3,1.06277363E+4,1.18730293E+4,1.29302461E+4,1.34944756E+4,1.36255586E+4,1.38592295E+4,1.31681914E+4,1.29316709E+4,1.24372578E+4,1.15980391E+4,1.11634688E+4,1.07160752E+4,1.02202373E+4,9.68165527E+3,9.41663867E+3,8.41641504E+3,7.42189014E+3,5.71495508E+3,3.91398193E+3,2.27116382E+3,1.11705933E+3,5.20059509E+2,2.47918777E+2,1.01162254E+2,
540.00,1.58890991E+2,3.63588379E+2,8.03043640E+2,1.42429309E+3,2.39624780E+3,3.55429102E+3,4.74525781E+3,6.07507520E+3,7.65969043E+3,8.76333887E+3,9.67230957E+3,1.03078740E+4,1.07272891E+4,1.07401719E+4,1.04996885E+4,1.06127725E+4,9.93569629E+3,9.53059570E+3,9.48622168E+3,9.10545508E+3,8.61446777E+3,8.31529492E+3,7.94454932E+3,7.22166699E+3,6.35707080E+3,4.91273730E+3,3.39826294E+3,1.99401025E+3,9.61934631E+2,4.78104401E+2,2.31894943E+2,1.11653122E+2,
541.00,3.11235535E+2,7.66561584E+2,1.38038721E+3,2.27807104E+3,3.29823218E+3,4.41349268E+3,5.65267139E+3,6.56188232E+3,7.72181104E+3,8.52439551E+3,8.75638086E+3,9.33850684E+3,9.52582422E+3,9.64109668E+3,9.08778906E+3,9.05897070E+3,8.82122168E+3,8.26503223E+3,8.18001904E+3,7.78953369E+3,7.46388916E+3,7.37599365E+3,6.62960498E+3,6.23767871E+3,5.42068555E+3,4.09793457E+3,2.69161084E+3,1.52159595E+3,8.12670532E+2,3.90485321E+2,1.74349533E+2,7.06043549E+1,
542.00,6.13072754E+2,1.22469275E+3,2.07311572E+3,3.29780859E+3,4.23920947E+3,5.13412109E+3,6.09295557E+3,7.15929541E+3,7.92491016E+3,8.31425488E+3,8.51473828E+3,9.01739941E+3,8.82999121E+3,8.47551367E+3,8.27793555E+3,7.96558789E+3,7.46002051E+3,7.36413721E+3,7.07793994E+3,6.59997559E+3,6.17431104E+3,5.93460254E+3,5.61208545E+3,5.12976318E+3,4.65034570E+3,3.43727539E+3,2.36512427E+3,1.27408728E+3,7.42370117E+2,2.97819702E+2,1.19127884E+2,7.11861725E+1,
543.00,8.52033142E+2,1.73188171E+3,2.72738452E+3,3.84439697E+3,5.22199707E+3,6.36682471E+3,7.16469092E+3,8.27291992E+3,9.18497559E+3,9.60660059E+3,1.01965820E+4,9.85401172E+3,9.78081348E+3,9.66955078E+3,9.42945898E+3,8.87754102E+3,8.53204297E+3,8.06942725E+3,7.78395215E+3,7.50140527E+3,6.87628809E+3,6.56592529E+3,6.11209326E+3,5.51186377E+3,4.61444727E+3,3.60723315E+3,2.52535596E+3,1.37759998E+3,7.05635681E+2,4.20160675E+2,1.62501160E+2,6.44148788E+1,
